  18.00  1.648  2.22E+05 1.07E+05 1.02E+06 3.61E+03 1.01E+04 1.47E+04 1.68E+04 1.64E+04 1.42E+04 1.12E+04 7.99E+03 5.25E+03 3.17E+03 1.77E+03 9.15E+02 4.38E+02 1.95E+02 8.05E+01 3.09E+01 1.10E+01 3.66E+00 1.13E+00 3.26E-01 8.75E-02 2.19E-02 5.10E-03 1.11E-03 2.24E-04 4.23E-05 7.45E-06 1.22E-06 1.87E-07 2.68E-08
  19.00  1.693  4.22E+05 2.00E+05 1.95E+06 6.54E+03 1.84E+04 2.68E+04 3.08E+04 3.05E+04 2.68E+04 2.13E+04 1.55E+04 1.04E+04 6.40E+03 3.66E+03 1.94E+03 9.57E+02 4.39E+02 1.87E+02 7.45E+01 2.76E+01 9.55E+00 3.08E+00 9.29E-01 2.61E-01 6.87E-02 1.69E-02 3.87E-03 8.29E-04 1.66E-04 3.11E-05 5.44E-06 8.91E-07 1.36E-07
  20.00  1.737  7.92E+05 3.70E+05 3.68E+06 1.17E+04 3.30E+04 4.84E+04 5.59E+04 5.57E+04 4.95E+04 3.99E+04 2.95E+04 2.01E+04 1.26E+04 7.38E+03 4.01E+03 2.03E+03 9.55E+02 4.20E+02 1.73E+02 6.63E+01 2.38E+01 7.98E+00 2.50E+00 7.35E-01 2.02E-01 5.20E-02 1.25E-02 2.83E-03 5.99E-04 1.19E-04 2.20E-05 3.82E-06 6.23E-07
  22.50  1.842  4.85E+06 1.62E+06 1.67E+07 4.77E+04 1.35E+05 2.00E+05 2.34E+05 2.38E+05 2.16E+05 1.79E+05 1.37E+05 9.64E+04 6.33E+04 3.87E+04 2.21E+04 1.18E+04 5.92E+03 2.78E+03 1.22E+03 5.05E+02 1.96E+02 7.14E+01 2.45E+01 7.88E+00 2.39E+00 6.80E-01 1.82E-01 4.59E-02 1.09E-02 2.43E-03 5.11E-04 1.01E-04 1.88E-05
  25.00  1.942  2.14E+07 6.61E+06 7.04E+07 1.82E+05 5.16E+05 7.69E+05 9.12E+05 9.40E+05 8.71E+05 7.38E+05 5.78E+05 4.21E+05 2.86E+05 1.81E+05 1.08E+05 6.04E+04 3.17E+04 1.57E+04 7.31E+03 3.21E+03 1.33E+03 5.18E+02 1.90E+02 6.61E+01 2.17E+01 6.71E+00 1.96E+00 5.40E-01 1.41E-01 3.47E-02 8.06E-03 1.77E-03 3.68E-04
  30.00  2.127  4.73E+08 9.04E+07 1.02E+09 2.23E+06 6.36E+06 9.60E+06 1.16E+07 1.22E+07 1.16E+07 1.02E+07 8.34E+06 6.35E+06 4.55E+06 3.06E+06 1.94E+06 1.16E+06 6.60E+05 3.54E+05 1.80E+05 8.67E+04 3.96E+04 1.71E+04 7.04E+03 2.75E+03 1.02E+03 3.58E+02 1.19E+02 3.79E+01 1.14E+01 3.27E+00 8.89E-01 2.30E-01 5.65E-02
  40.00  2.456  9.51E+10 9.46E+09 1.16E+11 1.97E+08 5.67E+08 8.69E+08 1.07E+09 1.17E+09 1.16E+09 1.06E+09 9.15E+08 7.42E+08 5.69E+08 4.14E+08 2.86E+08 1.88E+08 1.18E+08 7.03E+07 4.01E+07 2.19E+07 1.14E+07 5.66E+06 2.69E+06 1.22E+06 5.33E+05 2.22E+05 8.84E+04 3.37E+04 1.23E+04 4.31E+03 1.44E+03 4.63E+02 1.42E+02
  50.00  2.746  5.77E+12 5.67E+11 7.40E+12 1.04E+10 3.01E+10 4.66E+10 5.84E+10 6.48E+10 6.59E+10 6.24E+10 5.56E+10 4.69E+10 3.76E+10 2.87E+10 2.10E+10 1.46E+10 9.78E+09 6.27E+09 3.85E+09 2.27E+09 1.29E+09 7.00E+08 3.66E+08 1.84E+08 8.88E+07 4.13E+07 1.84E+07 7.93E+06 3.28E+06 1.31E+06 5.00E+05 1.84E+05 6.55E+04
  60.00  3.009  2.34E+14 2.28E+13 3.13E+14 3.79E+11 1.10E+12 1.71E+12 2.17E+12 2.44E+12 2.53E+12 2.45E+12 2.23E+12 1.94E+12 1.61E+12 1.27E+12 9.64E+11 7.02E+11 4.92E+11 3.31E+11 2.14E+11 1.34E+11 8.05E+10 4.67E+10 2.61E+10 1.41E+10 7.33E+09 3.68E+09 1.79E+09 8.36E+08 3.78E+08 1.65E+08 6.95E+07 2.83E+07 1.11E+07
  70.00  3.250  7.03E+15 6.80E+14 9.73E+15 1.04E+13 3.02E+13 4.74E+13 6.05E+13 6.88E+13 7.21E+13 7.09E+13 6.60E+13 5.85E+13 4.96E+13 4.04E+13 3.16E+13 2.37E+13 1.72E+13 1.20E+13 8.11E+12 5.29E+12 3.33E+12 2.03E+12 1.19E+12 6.79E+11 3.74E+11 1.99E+11 1.03E+11 5.13E+10 2.48E+10 1.16E+10 5.26E+09 2.31E+09 9.83E+08
  80.00  3.474  1.67E+17 1.60E+16 2.37E+17 2.27E+14 6.63E+14 1.04E+15 1.34E+15 1.54E+15 1.63E+15 1.62E+15 1.53E+15 1.38E+15 1.20E+15 9.93E+14 7.95E+14 6.13E+14 4.57E+14 3.29E+14 2.29E+14 1.55E+14 1.01E+14 6.38E+13 3.91E+13 2.32E+13 1.34E+13 7.47E+12 4.05E+12 2.13E+12 1.08E+12 5.36E+11 2.58E+11 1.20E+11 5.43E+10
  90.00  3.685  3.27E+18 3.10E+17 4.74E+18 4.14E+15 1.21E+16 1.91E+16 2.47E+16 2.85E+16 3.05E+16 3.06E+16 2.93E+16 2.68E+16 2.35E+16 1.99E+16 1.62E+16 1.28E+16 9.75E+15 7.19E+15 5.14E+15 3.57E+15 2.40E+15 1.56E+15 9.91E+14 6.09E+14 3.64E+14 2.11E+14 1.19E+14 6.52E+13 3.47E+13 1.80E+13 9.05E+12 4.43E+12 2.11E+12
 100.00  3.884  5.44E+19 5.12E+18 8.05E+19 6.46E+16 1.89E+17 2.99E+17 3.89E+17 4.51E+17 4.86E+17 4.93E+17 4.77E+17 4.41E+17 3.92E+17 3.37E+17 2.79E+17 2.24E+17 1.74E+17 1.31E+17 9.56E+16 6.79E+16 4.68E+16 3.13E+16 2.04E+16 1.29E+16 7.96E+15 4.77E+15 2.78E+15 1.58E+15 8.71E+14 4.68E+14 2.45E+14 1.25E+14 6.19E+13
 110.00  4.074  7.91E+20 7.36E+19 1.19E+21 8.85E+17 2.59E+18 4.12E+18 5.36E+18 6.26E+18 6.78E+18 6.94E+18 6.76E+18 6.32E+18 5.68E+18 4.94E+18 4.15E+18 3.37E+18 2.66E+18 2.04E+18 1.52E+18 1.10E+18 7.75E+17 5.31E+17 3.54E+17 2.30E+17 1.45E+17 8.94E+16 5.36E+16 3.13E+16 1.79E+16 9.91E+15 5.36E+15 2.83E+15 1.46E+15
 120.00  4.255  1.02E+22 9.42E+20 1.56E+22 1.08E+19 3.17E+19 5.05E+19 6.60E+19 7.73E+19 8.42E+19 8.67E+19 8.51E+19 8.03E+19 7.29E+19 6.40E+19 5.44E+19 4.49E+19 3.59E+19 2.79E+19 2.11E+19 1.56E+19 1.12E+19 7.79E+18 5.30E+18 3.52E+18 2.27E+18 1.43E+18 8.82E+17 5.29E+17 3.09E+17 1.77E+17 9.85E+16 5.35E+16 2.84E+16
 130.00  4.428  1.19E+23 1.09E+22 1.83E+23 1.20E+20 3.51E+20 5.60E+20 7.34E+20 8.64E+20 9.45E+20 9.78E+20 9.67E+20 9.19E+20 8.42E+20 7.46E+20 6.41E+20 5.34E+20 4.33E+20 3.41E+20 2.62E+20 1.96E+20 1.43E+20 1.01E+20 7.02E+19 4.74E+19 3.13E+19 2.01E+19 1.27E+19 7.76E+18 4.65E+18 2.72E+18 1.56E+18 8.69E+17 4.74E+17
 140.00  4.596  1.26E+24 1.14E+23 1.97E+24 1.21E+21 3.56E+21 5.69E+21 7.47E+21 8.82E+21 9.69E+21 1.01E+22 1.00E+22 9.59E+21 8.85E+21 7.91E+21 6.86E+21 5.77E+21 4.73E+21 3.77E+21 2.93E+21 2.22E+21 1.64E+21 1.18E+21 8.33E+20 5.73E+20 3.84E+20 2.52E+20 1.61E+20 1.01E+20 6.18E+19 3.70E+19 2.16E+19 1.24E+19 6.90E+18
 150.00  4.757  1.23E+25 1.11E+24 1.94E+25 1.13E+22 3.33E+22 5.33E+22 7.02E+22 8.31E+22 9.17E+22 9.58E+22 9.58E+22 9.21E+22 8.56E+22 7.71E+22 6.74E+22 5.73E+22 4.74E+22 3.82E+22 3.00E+22 2.30E+22 1.72E+22 1.26E+22 8.99E+21 6.27E+21 4.27E+21 2.85E+21 1.86E+21 1.18E+21 7.38E+20 4.50E+20 2.68E+20 1.57E+20 8.94E+19
 160.00  4.913  1.12E+26 9.98E+24 1.78E+26 9.88E+22 2.90E+23 4.65E+23 6.14E+23 7.29E+23 8.07E+23 8.47E+23 8.50E+23 8.22E+23 7.69E+23 6.97E+23 6.14E+23 5.26E+23 4.39E+23 3.57E+23 2.83E+23 2.20E+23 1.66E+23 1.23E+23 8.90E+22 6.29E+22 4.35E+22 2.94E+22 1.95E+22 1.26E+22 8.00E+21 4.96E+21 3.01E+21 1.79E+21 1.04E+21
 170.00  5.064  9.53E+26 8.41E+25 1.52E+27 8.06E+23 2.37E+24 3.81E+24 5.03E+24 5.99E+24 6.65E+24 7.00E+24 7.06E+24 6.86E+24 6.45E+24 5.88E+24 5.22E+24 4.50E+24 3.79E+24 3.11E+24 2.49E+24 1.95E+24 1.49E+24 1.11E+24 8.16E+23 5.84E+23 4.09E+23 2.80E+23 1.88E+23 1.24E+23 7.96E+22 5.02E+22 3.10E+22 1.88E+22 1.11E+22
 180.00  5.211  7.62E+27 6.66E+26 1.22E+28 6.20E+24 1.83E+25 2.93E+25 3.88E+25 4.63E+25 5.16E+25 5.45E+25 5.52E+25 5.39E+25 5.09E+25 4.67E+25 4.16E+25 3.62E+25 3.06E+25 2.53E+25 2.05E+25 1.62E+25 1.25E+25 9.44E+24 6.98E+24 5.05E+24 3.58E+24 2.48E+24 1.69E+24 1.13E+24 7.35E+23 4.70E+23 2.95E+23 1.81E+23 1.09E+23
