bin Ex Popul. 0- 0+ 1- 1+ 2- 2+ 3- 3+ 4- 4+ 5- 5+ 6- 6+ 7- 7+ 8- 8+ 9- 9+ 
42 0.14531495747873938 0.00272690600677543 0.0 0.0 0.00272690600677543 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
43 0.14877483741870937 0.0027394298047744227 0.0 0.0 0.0027394298047744227 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
44 0.15223471735867933 0.0027520075240119544 0.0 0.0 0.0027520075240119544 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
45 0.15569459729864932 0.0027646393754125883 0.0 0.0 0.0027646393754125883 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
46 0.1591544772386193 0.0027773255705998575 0.0 0.0 0.0027773255705998575 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
47 0.1626143571785893 0.0027900663218978013 0.0 0.0 0.0027900663218978013 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
48 0.1660742371185593 0.0028028618423325247 0.0 0.0 0.0028028618423325247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
49 0.16953411705852928 0.002815712345633727 0.0 0.0 0.002815712345633727 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
50 0.17299399699849924 0.002828618046236246 0.0 0.0 0.002828618046236246 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
51 0.17645387693846923 0.0028415791592815935 0.0 0.0 0.0028415791592815935 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
52 0.17991375687843922 0.0028545959006194993 0.0 0.0 0.0028545959006194993 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
53 0.1833736368184092 0.0028676684868094338 0.0 0.0 0.0028676684868094338 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
54 0.1868335167583792 0.002880797135122149 0.0 0.0 0.002880797135122149 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
55 0.1902933966983492 0.0028939820635412003 0.0 0.0 0.0028939820635412003 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
56 0.19375327663831915 0.0029072234907644825 0.0 0.0 0.0029072234907644825 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
57 0.19721315657828914 0.0029205216362057445 0.0 0.0 0.0029205216362057445 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
